datetime,2W_speed
24-02-2020 08:35,33.16
24-02-2020 08:40,28.03
24-02-2020 08:45,31.83
24-02-2020 08:50,29.03
24-02-2020 08:55,41.97
24-02-2020 09:00,36.49
24-02-2020 09:05,30.54
24-02-2020 09:10,35.53
24-02-2020 09:15,30.27
24-02-2020 09:20,32.93
24-02-2020 09:25,29.87
24-02-2020 09:30,24.02
24-02-2020 09:35,31.4
24-02-2020 09:40,32.3
24-02-2020 09:45,29.74
24-02-2020 09:50,35.53
24-02-2020 09:55,30.82
24-02-2020 10:00,27
24-02-2020 10:05,29.22
24-02-2020 10:10,29.87
24-02-2020 10:15,30.54
24-02-2020 10:20,25.19
24-02-2020 10:25,29.09
24-02-2020 10:30,27.66
24-02-2020 10:35,34.09
24-02-2020 10:40,20.64
24-02-2020 10:45,29.48
24-02-2020 10:50,33.58
24-02-2020 10:55,30.27
24-02-2020 11:00,32.93
24-02-2020 16:35,29.284
24-02-2020 16:40,22.881
24-02-2020 16:45,25
24-02-2020 16:50,29.348
24-02-2020 16:55,27.893
24-02-2020 17:00,26.265
24-02-2020 17:05,29.476
24-02-2020 17:10,25.093
24-02-2020 17:15,34.439
24-02-2020 17:20,25.862
24-02-2020 17:25,28.602
24-02-2020 17:30,33.416
24-02-2020 17:35,24.816
24-02-2020 17:40,30.682
24-02-2020 17:45,33.92
24-02-2020 17:50,32.452
24-02-2020 17:55,26.786
24-02-2020 18:00,28.008
24-02-2020 18:05,26.575
24-02-2020 18:10,34.794
24-02-2020 18:15,30.963
24-02-2020 18:20,33.416
24-02-2020 18:25,28.602
24-02-2020 18:30,25.281
24-02-2020 18:35,31.84
24-02-2020 18:40,31.106
24-02-2020 18:45,32.143
24-02-2020 18:50,30.337
24-02-2020 18:55,33.416
24-02-2020 19:00,38.793
24-02-2020 08:35,51.136
24-02-2020 08:40,44.925
24-02-2020 08:45,45.685
24-02-2020 08:50,42.789
24-02-2020 08:55,43.062
24-02-2020 09:00,42.188
24-02-2020 09:05,42.654
24-02-2020 09:10,33.499
24-02-2020 09:15,37.604
24-02-2020 09:20,39.706
24-02-2020 09:25,46.957
24-02-2020 09:30,42.386
24-02-2020 09:35,39.244
24-02-2020 09:40,45.84
24-02-2020 09:45,44.19
24-02-2020 09:50,42.188
24-02-2020 09:55,31.765
24-02-2020 10:00,42.056
24-02-2020 10:05,32.181
24-02-2020 10:10,43.548
24-02-2020 10:15,33.088
24-02-2020 10:20,32.413
24-02-2020 10:25,39.823
24-02-2020 10:30,38.571
24-02-2020 10:35,47.703
24-02-2020 10:40,35.433
24-02-2020 10:45,36.145
24-02-2020 10:50,30.44
24-02-2020 10:55,36.936
24-02-2020 11:00,28.451
24-02-2020 16:35,43.831
24-02-2020 16:40,37.975
24-02-2020 16:45,31.616
24-02-2020 16:50,31.802
24-02-2020 16:55,30.999
24-02-2020 17:00,30.168
24-02-2020 17:05,32.143
24-02-2020 17:10,29.284
24-02-2020 17:15,30.578
24-02-2020 17:20,35.202
24-02-2020 17:25,36.048
24-02-2020 17:30,28.511
24-02-2020 17:35,30.168
24-02-2020 17:40,32.413
24-02-2020 17:45,29.54
24-02-2020 17:50,32.413
24-02-2020 17:55,28.571
24-02-2020 18:00,31.359
24-02-2020 18:05,32.413
24-02-2020 18:10,29.933
24-02-2020 18:15,21.987
24-02-2020 18:20,27.567
24-02-2020 18:25,27.16
24-02-2020 18:30,28.756
24-02-2020 18:35,27.583
24-02-2020 18:40,26.757
24-02-2020 18:45,27.597
24-02-2020 18:50,28.478
24-02-2020 18:55,28.838
24-02-2020 19:00,29.871
25-02-2020 08:35,35.526
25-02-2020 08:40,36.885
25-02-2020 08:45,37.921
25-02-2020 08:50,33.75
25-02-2020 08:55,39.706
25-02-2020 09:00,33.251
25-02-2020 09:05,35.904
25-02-2020 09:10,31.991
25-02-2020 09:15,34.264
25-02-2020 09:20,33.92
25-02-2020 09:25,36.885
25-02-2020 09:30,29.476
25-02-2020 09:35,25.093
25-02-2020 09:40,27.218
25-02-2020 09:45,34.264
25-02-2020 09:50,37.088
25-02-2020 09:55,36.29
25-02-2020 10:00,29.867
25-02-2020 10:05,32.927
25-02-2020 10:10,32.609
25-02-2020 10:15,29.867
25-02-2020 10:20,36.486
25-02-2020 10:25,33.75
25-02-2020 10:30,37.448
25-02-2020 10:35,30.682
25-02-2020 10:40,29.605
25-02-2020 10:45,34.091
25-02-2020 10:50,36.685
25-02-2020 10:55,31.106
25-02-2020 11:00,37.088
25-02-2020 16:35,29.736
25-02-2020 16:40,25.21
25-02-2020 16:45,18.908
25-02-2020 16:50,25.714
25-02-2020 16:55,27.439
25-02-2020 17:00,33.92
25-02-2020 17:05,32.297
25-02-2020 17:10,30.963
25-02-2020 17:15,28.97
25-02-2020 17:20,32.143
25-02-2020 17:25,23.684
25-02-2020 17:30,33.75
25-02-2020 17:35,33.088
25-02-2020 17:40,29.221
25-02-2020 17:45,25.665
25-02-2020 17:50,29.476
25-02-2020 17:55,36.486
25-02-2020 18:00,34.439
25-02-2020 18:05,32.452
25-02-2020 18:10,26.892
25-02-2020 18:15,24.434
25-02-2020 18:20,31.69
25-02-2020 18:25,29.476
25-02-2020 18:30,27.108
25-02-2020 18:35,30.963
25-02-2020 18:40,23.276
25-02-2020 18:45,22.538
25-02-2020 18:50,24.545
25-02-2020 18:55,28.008
25-02-2020 19:00,28.97
25-02-2020 08:35,35.762
25-02-2020 08:40,34.177
25-02-2020 08:45,35.762
25-02-2020 08:50,30.337
25-02-2020 08:55,34.177
25-02-2020 09:00,32.927
25-02-2020 09:05,34.839
25-02-2020 09:10,36.242
25-02-2020 09:15,30.168
25-02-2020 09:20,31.765
25-02-2020 09:25,31.579
25-02-2020 09:30,40
25-02-2020 09:35,35.526
25-02-2020 09:40,31.765
25-02-2020 09:45,28.571
25-02-2020 09:50,31.579
25-02-2020 09:55,29.032
25-02-2020 10:00,31.765
25-02-2020 10:05,28.723
25-02-2020 10:10,36.735
25-02-2020 10:15,28.421
25-02-2020 10:20,29.67
25-02-2020 10:25,31.953
25-02-2020 10:30,32.727
25-02-2020 10:35,25.837
25-02-2020 10:40,20.93
25-02-2020 10:45,29.508
25-02-2020 10:50,28.272
25-02-2020 10:55,30
25-02-2020 11:00,29.348
25-02-2020 16:35,29.032
25-02-2020 16:40,32.927
25-02-2020 16:45,26.341
25-02-2020 16:50,24.324
25-02-2020 16:55,31.579
25-02-2020 17:00,27.835
25-02-2020 17:05,31.579
25-02-2020 17:10,37.241
25-02-2020 17:15,24.324
25-02-2020 17:20,33.129
25-02-2020 17:25,30
25-02-2020 17:30,24.324
25-02-2020 17:35,27.979
25-02-2020 17:40,28.723
25-02-2020 17:45,28.571
25-02-2020 17:50,27.835
25-02-2020 17:55,31.579
25-02-2020 18:00,32.53
25-02-2020 18:05,29.348
25-02-2020 18:10,25.962
25-02-2020 18:15,31.579
25-02-2020 18:20,29.508
25-02-2020 18:25,24.771
25-02-2020 18:30,24.215
25-02-2020 18:35,31.214
25-02-2020 18:40,31.579
25-02-2020 18:45,24.658
25-02-2020 18:50,34.615
25-02-2020 18:55,30.168
25-02-2020 19:00,31.765
26-02-2020 08:35,39.416
26-02-2020 08:40,32.143
26-02-2020 08:45,35.34
26-02-2020 08:50,34.974
26-02-2020 08:55,29.605
26-02-2020 09:00,32.452
26-02-2020 09:05,33.416
26-02-2020 09:10,28.481
26-02-2020 09:15,28.846
26-02-2020 09:20,29.348
26-02-2020 09:25,33.416
26-02-2020 09:30,33.75
26-02-2020 09:35,28.723
26-02-2020 09:40,34.439
26-02-2020 09:45,32.297
26-02-2020 09:50,27.551
26-02-2020 09:55,27.778
26-02-2020 10:00,35.904
26-02-2020 10:05,32.927
26-02-2020 10:10,29.736
26-02-2020 10:15,33.251
26-02-2020 10:20,27.439
26-02-2020 10:25,36.29
26-02-2020 10:30,30.682
26-02-2020 10:35,35.433
26-02-2020 10:40,31.106
26-02-2020 10:45,27.664
26-02-2020 10:50,32.767
26-02-2020 10:55,35.156
26-02-2020 11:00,23.438
26-02-2020 16:35,30.269
26-02-2020 16:40,24.908
26-02-2020 16:45,14.181
26-02-2020 16:50,26.163
26-02-2020 16:55,26.471
26-02-2020 17:00,27.218
26-02-2020 17:05,30.543
26-02-2020 17:10,30.822
26-02-2020 17:15,31.69
26-02-2020 17:20,31.991
26-02-2020 17:25,30.682
26-02-2020 17:30,30.134
26-02-2020 17:35,28.602
26-02-2020 17:40,26.471
26-02-2020 17:45,35.156
26-02-2020 17:50,31.84
26-02-2020 17:55,34.615
26-02-2020 18:00,34.839
26-02-2020 18:05,36.685
26-02-2020 18:10,27.664
26-02-2020 18:15,26.786
26-02-2020 18:20,29.221
26-02-2020 18:25,14.211
26-02-2020 18:30,35.248
26-02-2020 18:35,31.469
26-02-2020 18:40,35.065
26-02-2020 18:45,29.348
26-02-2020 18:50,37.5
26-02-2020 18:55,39.941
26-02-2020 19:00,27.893
26-02-2020 08:35,41.86
26-02-2020 08:40,36.986
26-02-2020 08:45,35.294
26-02-2020 08:50,32.143
26-02-2020 08:55,30
26-02-2020 09:00,32.335
26-02-2020 09:05,40.909
26-02-2020 09:10,34.615
26-02-2020 09:15,35.065
26-02-2020 09:20,35.526
26-02-2020 09:25,42.857
26-02-2020 09:30,38.298
26-02-2020 09:35,35.294
26-02-2020 09:40,34.839
26-02-2020 09:45,31.395
26-02-2020 09:50,33.962
26-02-2020 09:55,31.765
26-02-2020 10:00,34.395
26-02-2020 10:05,31.214
26-02-2020 10:10,37.5
26-02-2020 10:15,33.54
26-02-2020 10:20,33.962
26-02-2020 10:25,25.714
26-02-2020 10:30,29.348
26-02-2020 10:35,36.486
26-02-2020 10:40,29.348
26-02-2020 10:45,35.065
26-02-2020 10:50,34.395
26-02-2020 10:55,28.125
26-02-2020 11:00,30.857
26-02-2020 16:35,28.421
26-02-2020 16:40,23.478
26-02-2020 16:45,26.214
26-02-2020 16:50,33.54
26-02-2020 16:55,31.214
26-02-2020 17:00,33.962
26-02-2020 17:05,32.335
26-02-2020 17:10,35.526
26-02-2020 17:15,28.272
26-02-2020 17:20,30.168
26-02-2020 17:25,29.348
26-02-2020 17:30,28.272
26-02-2020 17:35,30.168
26-02-2020 17:40,31.395
26-02-2020 17:45,28.421
26-02-2020 17:50,31.395
26-02-2020 17:55,27.551
26-02-2020 18:00,29.032
26-02-2020 18:05,29.508
26-02-2020 18:10,20.849
26-02-2020 18:15,19.424
26-02-2020 18:20,19.149
26-02-2020 18:25,22.041
26-02-2020 18:30,27.692
26-02-2020 18:35,27.273
26-02-2020 18:40,25.472
26-02-2020 18:45,29.508
26-02-2020 18:50,30
26-02-2020 18:55,28.877
26-02-2020 19:00,25.234
27-02-2020 08:35,45.918
27-02-2020 08:40,29.867
27-02-2020 08:45,39.941
27-02-2020 08:50,32.609
27-02-2020 08:55,35.526
27-02-2020 09:00,39.706
27-02-2020 09:05,31.25
27-02-2020 09:10,35.904
27-02-2020 09:15,31.616
27-02-2020 09:20,37.815
27-02-2020 09:25,35.904
27-02-2020 09:30,29.476
27-02-2020 09:35,35.526
27-02-2020 09:40,30.269
27-02-2020 09:45,25.187
27-02-2020 09:50,33.088
27-02-2020 09:55,34.615
27-02-2020 10:00,35.526
27-02-2020 10:05,32.297
27-02-2020 10:10,33.75
27-02-2020 10:15,30.822
27-02-2020 10:20,35.904
27-02-2020 10:25,31.395
27-02-2020 10:30,32.297
27-02-2020 10:35,46.552
27-02-2020 10:40,39.706
27-02-2020 10:45,45.302
27-02-2020 10:50,36.685
27-02-2020 10:55,43.548
27-02-2020 11:00,28.361
27-02-2020 16:35,33.75
27-02-2020 16:40,34.264
27-02-2020 16:45,26.549
27-02-2020 16:50,42.453
27-02-2020 16:55,39.941
27-02-2020 17:00,38.793
27-02-2020 17:05,34.794
27-02-2020 17:10,35.904
27-02-2020 17:15,36.685
27-02-2020 17:20,4.106
27-02-2020 17:25,34.091
27-02-2020 17:30,24.501
27-02-2020 17:35,29.221
27-02-2020 17:40,31.395
27-02-2020 17:45,27.108
27-02-2020 17:50,30.822
27-02-2020 17:55,28.97
27-02-2020 18:00,31.542
27-02-2020 18:05,31.69
27-02-2020 18:10,31.591
27-02-2020 18:15,31.395
27-02-2020 18:20,25.376
27-02-2020 18:25,33.333
27-02-2020 18:30,30.405
27-02-2020 18:35,32.143
27-02-2020 18:40,26.575
27-02-2020 18:45,27.439
27-02-2020 18:50,27.778
27-02-2020 18:55,25.187
27-02-2020 19:00,32.609
27-02-2020 08:35,35.53
27-02-2020 08:40,41.33
27-02-2020 08:45,41.33
27-02-2020 08:50,52.6
27-02-2020 08:55,38.21
27-02-2020 09:00,42.19
27-02-2020 09:05,34.47
27-02-2020 09:10,46.02
27-02-2020 09:15,30.68
27-02-2020 09:20,36.16
27-02-2020 09:25,34.62
27-02-2020 09:30,38.57
27-02-2020 09:35,35.22
27-02-2020 09:40,34.03
27-02-2020 09:45,39.71
27-02-2020 09:50,42.63
27-02-2020 09:55,39.32
27-02-2020 10:00,44.02
27-02-2020 10:05,39.13
27-02-2020 10:10,34.03
27-02-2020 10:15,27.93
27-02-2020 10:20,34.91
27-02-2020 10:25,35.22
27-02-2020 10:30,34.84
27-02-2020 10:35,21.09
27-02-2020 10:40,34.62
27-02-2020 10:45,35.22
27-02-2020 10:50,25.96
27-02-2020 10:55,32.66
27-02-2020 11:00,37.16
27-02-2020 16:35,28.52
27-02-2020 16:40,36.82
27-02-2020 16:45,37.85
27-02-2020 16:50,33.75
27-02-2020 16:55,28.17
27-02-2020 17:00,28.32
27-02-2020 17:05,30.45
27-02-2020 17:10,28.52
27-02-2020 17:15,28.93
27-02-2020 17:20,30.45
27-02-2020 17:25,36.99
27-02-2020 17:30,37.5
27-02-2020 17:35,38.94
27-02-2020 17:40,28.72
27-02-2020 17:45,30.45
27-02-2020 17:50,35.53
27-02-2020 17:55,39.71
27-02-2020 18:00,27.74
27-02-2020 18:05,29.78
27-02-2020 18:10,34.32
27-02-2020 18:15,34.32
27-02-2020 18:20,32.27
27-02-2020 18:25,30.92
27-02-2020 18:30,32.66
27-02-2020 18:35,34.91
27-02-2020 18:40,30.45
27-02-2020 18:45,39.32
27-02-2020 18:50,33.47
27-02-2020 18:55,31.89
27-02-2020 19:00,37.5
28-02-2020 08:35,37.709
28-02-2020 08:40,34.264
28-02-2020 08:45,32.452
28-02-2020 08:50,38.352
28-02-2020 08:55,37.975
28-02-2020 09:00,35.526
28-02-2020 09:05,35.156
28-02-2020 09:10,32.927
28-02-2020 09:15,36.242
28-02-2020 09:20,27.218
28-02-2020 09:25,35.714
28-02-2020 09:30,34.974
28-02-2020 09:35,28.361
28-02-2020 09:40,24.107
28-02-2020 09:45,32.767
28-02-2020 09:50,40.419
28-02-2020 09:55,33.416
28-02-2020 10:00,33.088
28-02-2020 10:05,31.69
28-02-2020 10:10,26.786
28-02-2020 10:15,30.269
28-02-2020 10:20,35.714
28-02-2020 10:25,34.974
28-02-2020 10:30,28.243
28-02-2020 10:35,30.269
28-02-2020 10:40,29.348
28-02-2020 10:45,30.405
28-02-2020 10:50,33.088
28-02-2020 10:55,30.269
28-02-2020 11:00,37.709
28-02-2020 16:35,25.763
28-02-2020 16:40,28.97
28-02-2020 16:45,33.582
28-02-2020 16:50,29.967
28-02-2020 16:55,28.602
28-02-2020 17:00,37.088
28-02-2020 17:05,28.815
28-02-2020 17:10,35.156
28-02-2020 17:15,26.367
28-02-2020 17:20,34.091
28-02-2020 17:25,30.963
28-02-2020 17:30,30.042
28-02-2020 17:35,7.508
28-02-2020 17:40,31.178
28-02-2020 17:45,32.767
28-02-2020 17:50,29.348
28-02-2020 17:55,29.348
28-02-2020 18:00,28.361
28-02-2020 18:05,28.723
28-02-2020 18:10,35.156
28-02-2020 18:15,33.92
28-02-2020 18:20,28.723
28-02-2020 18:25,36.29
28-02-2020 18:30,9.643
28-02-2020 18:35,27.439
28-02-2020 18:40,31.991
28-02-2020 18:45,29.095
28-02-2020 18:50,32.143
28-02-2020 18:55,29.095
28-02-2020 19:00,35.714
28-02-2020 08:35,44.118
28-02-2020 08:40,47.203
28-02-2020 08:45,34.974
28-02-2020 08:50,45.302
28-02-2020 08:55,29.801
28-02-2020 09:00,31.25
28-02-2020 09:05,33.92
28-02-2020 09:10,35.714
28-02-2020 09:15,36.096
28-02-2020 09:20,43.131
28-02-2020 09:25,43.269
28-02-2020 09:30,37.293
28-02-2020 09:35,40.179
28-02-2020 09:40,38.571
28-02-2020 09:45,35.526
28-02-2020 09:50,36
28-02-2020 09:55,29.095
28-02-2020 10:00,40.663
28-02-2020 10:05,34.794
28-02-2020 10:10,38.571
28-02-2020 10:15,40.663
28-02-2020 10:20,36.29
28-02-2020 10:25,25.093
28-02-2020 10:30,33.582
28-02-2020 10:35,37.5
28-02-2020 10:40,32.767
28-02-2020 10:45,37.5
28-02-2020 10:50,40.663
28-02-2020 10:55,32.767
28-02-2020 11:00,30.543
28-02-2020 16:35,3.879
28-02-2020 16:40,2.696
28-02-2020 16:45,3.951
28-02-2020 16:50,9.747
28-02-2020 16:55,4.994
28-02-2020 17:00,6.109
28-02-2020 17:05,14.754
28-02-2020 17:10,8.328
28-02-2020 17:15,11.364
28-02-2020 17:20,14.77
28-02-2020 17:25,34.794
28-02-2020 17:30,29.444
28-02-2020 17:35,31.542
28-02-2020 17:40,36.685
28-02-2020 17:45,32.767
28-02-2020 17:50,29.605
28-02-2020 17:55,30.134
28-02-2020 18:00,39.017
28-02-2020 18:05,33.92
28-02-2020 18:10,30.44
28-02-2020 18:15,22.5
28-02-2020 18:20,28.125
28-02-2020 18:25,14.579
28-02-2020 18:30,14.803
28-02-2020 18:35,31.84
28-02-2020 18:40,35.714
28-02-2020 18:45,36.29
28-02-2020 18:50,28.846
28-02-2020 18:55,29.221
28-02-2020 19:00,26.892
